词语,全拼音,同形,词类,JLH
分裂,fen1lie4,2,v, 596
分母,fen1mu3,,n, 793
分配,fen1pei4,,v, 597
分批,fen1pi1,,d, 143
分期,fen1qi1,,d, 144
分散,fen1san4,,a, 266
分散,fen1san4,,v, 598
分数,fen1shu4,,n, 794
分庭抗礼,fen1ting2kang4li3,,i,  98
分头,fen1tou2,,d, 145
分析,fen1xi1,,v, 599
分之,fen1zhi1,,m,  32
分支,fen1zhi1,,n, 795
分钟,fen1zhong1,,q,  45
吩咐,fen1fu4,,v, 600
纷纷,fen1fen1,,d, 147
纷乱,fen1luan4,,a, 267
纷争,fen1zheng1,,n, 796
坟,fen2,,n, 797
坟墓,fen2mu4,,n, 798
粉白,fen3bai2,,b,  41
粉笔,fen3bi3,,n, 799
粉红,fen3hong2,,b,  42
粉末,fen3mo4,,n, 800
粉丝,fen3si1,,n, 801
粉碎,fen3sui4,,v, 601
粉条,fen3tiao2,,n, 802
分量,fen4liang4,,n, 792
分外,fen4wai4,,d, 146
份,fen4,,q,  46
份饭,fen4fan4,,n, 803
奋不顾身,fen4bu4gu4shen1,,i,  99
奋斗,fen4dou4,,v, 602
奋发图强,fen4fa1tu2qiang2,,i, 100
奋力,fen4li4,,d, 148
奋勇,fen4yong3,,d, 149
愤慨,fen4kai3,,a, 268
愤怒,fen4nu4,,a, 269
丰采,feng1cai3,,n, 804
丰富,feng1fu4,,a, 270
丰功伟绩,feng1gong1wei3ji1,,i, 101
丰满,feng1man3,,a, 271
丰美,feng1mei3,,a, 272
丰饶,feng1rao2,,a, 273
丰盛,feng1sheng4,,a, 274
丰收,feng1shou1,,v, 603
丰硕,feng1shuo4,,a, 275
丰裕,feng1yu4,,a, 276
风,feng1,,n, 805
风暴,feng1bao4,,n, 806
风波,feng1bo1,,n, 807
风采,feng1cai3,,n, 808
风吹草动,feng1chui1cao3dong4,,i, 102
风度,feng1du4,,n, 809
风格,feng1ge2,,n, 810
风景,feng1jing3,,n, 811
风力,feng1li4,,n, 812
风流,feng1liu2,,a, 277
风情,feng1qing2,,n, 813
风沙,feng1sha1,,n, 814
风扇,feng1shan4,,n, 815
风俗,feng1su2,,n, 816
风味,feng1wei4,,n, 817
风行,feng1xing2,,v, 604
风雪交加,feng1xue3jiao1jia1,,l,  20
风言风语,feng1yan2feng1yu3,,i, 103
风衣,feng1yi1,,n, 818
风雨交加,feng1yu3jiao1jia1,,i, 104
风筝,feng1zheng5,,n, 819
枫树,feng1shu4,,n, 820
枫叶,feng1ye4,,n, 821
封,feng1,,q,  47
封闭,feng1bi4,,v, 605
封面,feng1mian4,,n, 822
封锁,feng1suo3,,v, 606
疯,feng1,,v, 607
疯狂,feng1kuang2,,a, 278
疯了呱几,feng1le5gua1ji1,,z,  33
锋利,feng1li4,,a, 279
锋芒,feng1mang2,,n, 823
蜂蜜,feng1mi4,,n, 824
逢场作戏,feng2chang3zuo4xi4,,i, 105
缝,feng2,,v, 608
讽刺,feng3ci4,,v, 609
缝隙,feng4xi4,,n, 825
凤凰,feng4huang2,,n, 826
奉告,feng4gao4,,v, 610
奉劝,feng4quan4,,v, 611
奉献,feng4xian4,,v, 612
佛教,fo2jiao4,,n, 827
否定,fou3ding4,,v, 613
否认,fou3ren4,,v, 614
否则,fou3ze2,,c,  25
夫妻,fu1qi1,,n, 828
肤浅,fu1qian3,,a, 280
肤色,fu1se4,,n, 829
伏,fu2,,q,  48
伏天,fu2tian1,,t,  45
伏贴,fu2tie1,,a, 281
扶,fu2,,v, 615
扶持,fu2chi2,,v, 616
扶手,fu2shou3,,n, 830
拂晓,fu2xiao3,,t,  46
服,fu2,,v, 617
服服帖帖,fu2fu5tie1tie1,,z,  34
服侍,fu2shi4,,v, 618
服饰,fu2shi4,,n, 831
服务,fu2wu4,,v, 619
服用,fu2yong4,,v, 620
服装,fu2zhuang1,,n, 832
俘虏,fu2lu3,,n, 833
浮,fu2,,v, 621
浮动,fu2dong4,,v, 622
浮力,fu2li4,,n, 834
浮浅,fu2qian3,,a, 282
浮现,fu2xian4,,v, 623
浮想联翩,fu2xiang3lian2pian1,,i, 106
浮云,fu2yun2,,n, 835
浮躁,fu2zao4,,a, 283
符号,fu2hao4,,n, 836
符合,fu2he2,,v, 624
幅,fu2,,q,  49
幅度,fu2du4,,n, 837
福利,fu2li4,,n, 838
抚养,fu3yang3,,v, 625
斧头,fu3tou5,,n, 839
俯视,fu3shi4,,v, 626
釜底抽薪,fu3di3chou1xin1,,i, 107
辅导,fu3dao3,,v, 627
辅音,fu3yin1,,n, 840
辅助,fu3zhu4,,v, 628
腐败,fu3bai4,,a, 284
腐蚀,fu3shi2,,v, 629
腐朽,fu3xiu3,,a, 285
腐竹,fu3zhu2,,n, 841
父母,fu4mu3,,n, 842
付,fu4,,v, 630
付出,fu4chu1,,v, 631
妇联,fu4lian2,,j,   6
妇女,fu4nv3,,n, 843
负担,fu4dan1,,n, 844
负担,fu4dan1,,v, 632
负荆请罪,fu4jing1qing3zui4,,i, 108
负数,fu4shu4,,n, 845
负责,fu4ze2,,a, 286
负责,fu4ze2,,v, 633
附带,fu4dai4,,v, 634
附加,fu4jia1,,v, 635
附录,fu4lu4,,n, 846
复辟,fu4bi4,,v, 636
复核,fu4he2,,v, 637
复句,fu4ju4,,n, 847
复习,fu4xi2,,v, 638
复习题,fu4xi2ti2,,n, 848
复印,fu4yin4,,v, 639
复杂,fu4za2,,a, 287
复制,fu4zhi4,,v, 640
副,fu4,1,q,  50
副,fu4,2,q,  51
副词,fu4ci2,,n, 849
副食品,fu4shi2pin3,,n, 850
副业,fu4ye4,,n, 851
富,fu4,,a, 288
富丽,fu4li4,,a, 289
富饶,fu4rao2,,a, 290
富翁,fu4weng1,,n, 852
富有,fu4you3,,a, 291
富裕,fu4yu4,,a, 292
富余,fu4yu5,,v, 641
富足,fu4zu2,,a, 293
赋役,fu4yi4,,n, 853
赋予,fu4yu3,,v, 642
腹部,fu4bu4,,n, 854
嘎登,ga1deng1,,o,   4
该,gai1,,r,  20
该,gai1,,v, 643
改,gai3,,v, 644
改变,gai3bian4,,v, 645
改动,gai3dong4,,v, 646
改革,gai3ge2,,v, 647
改换,gai3huan4,,v, 648
改进,gai3jin4,,v, 649
改良,gai3liang2,,v, 650
改日,gai3ri4,,d, 150
改善,gai3shan4,,v, 651
改天,gai3tian1,,d, 151
改头换面,gai3tou2huan4mian4,,i, 109
改邪归正,gai3xie2gui1zheng4,,i, 110
改选,gai3xuan3,,v, 652
改造,gai3zao4,,v, 653
改正,gai3zheng4,,v, 654
改装,gai3zhuang1,,v, 655
钙,gai4,,n, 855
盖,gai4,,v, 656
盖子,gai4zi5,,n, 856
概,gai4,,d, 152
概括,gai4kuo4,,v, 657
概率,gai4lv4,,n, 857
干,gan1,,a, 294
干巴巴,gan1ba1ba1,,z,  35
干瘪瘪,gan1bie1bie1,,z,  36
干脆,gan1cui4,,a, 295
干脆利落,gan1cui4li4luo5,,l,  21
干干净净,gan1gan1jing4jing4,,z,  37
干净,gan1jing4,,a, 296
干冷,gan1leng3,,z,  38
干粮,gan1liang2,,n, 860
干扰,gan1rao3,,v, 659
干预,gan1yu4,,v, 660
干燥,gan1zao4,,a, 298
甘苦,gan1ku3,,n, 862
甘美,gan1mei3,,a, 299
甘甜,gan1tian2,,a, 300
甘心,gan1xin1,,v, 661
甘心情愿,gan1xin1qing2yuan4,,i, 111
甘油,gan1you2,,n, 863
甘愿,gan1yuan4,,v, 662
肝,gan1,,n, 864
肝火,gan1huo3,,n, 865
柑橘,gan1ju2,1,n, 866
柑橘,gan1ju2,2,n, 867
尴尬,gan1ga4,,a, 301
杆,gan3,,q,  52
赶,gan3,1,v, 663
赶,gan3,2,v, 664
赶赴,gan3fu4,,v, 665
赶紧,gan3jin3,,d, 153
赶快,gan3kuai4,,d, 154
赶忙,gan3mang2,,d, 155
赶巧,gan3qiao3,,d, 156
敢,gan3,,v, 666
敢情,gan3qing5,,d, 157
敢于,gan3yu2,,v, 667
感到,gan3dao4,,v, 668
感动,gan3dong4,,a, 302
感动,gan3dong4,,v, 669
感官,gan3guan1,,n, 868
感觉,gan3jue2,,v, 670
感慨,gan3kai3,,a, 303
感冒,gan3mao4,,v, 671
感情,gan3qing2,,n, 869
感染,gan3ran3,,v, 672
感人,gan3ren2,,a, 304
感人肺腑,gan3ren2fei4fu3,,i, 112
感想,gan3xiang3,,n, 870
感谢,gan3xie4,,v, 673
橄榄,gan3lan3,1,n, 871
橄榄,gan3lan3,2,n, 872
干,gan4,,v, 658
干部,gan4bu4,,n, 858
干劲,gan4jin4,,n, 859
干练,gan4lian4,,a, 297
干事,gan4shi5,,n, 861
刚,gang1,,d, 158
刚才,gang1cai2,,t,  47
刚刚,gang1gang1,,d, 159
刚好,gang1hao3,,d, 160
刚烈,gang1lie4,,a, 305
刚巧,gang1qiao3,,d, 161
刚正,gang1zheng4,,a, 306
刚直,gang1zhi2,,a, 307
纲领,gang1ling3,,n, 874
缸,gang1,,n, 875
钢,gang1,,n, 876
钢笔,gang1bi3,,n, 877
钢化玻璃,gang1hua4bo1li2,,l,  22
钢筋,gang1jin1,,n, 878
钢琴,gang1qin2,,n, 879
钢丝,gang1si1,,n, 880
钢铁,gang1tie3,,n, 881
岗位,gang3wei4,,n, 873
港澳,gang3ao4,,j,   7
港口,gang3kou3,,n, 882
杠铃,gang4ling2,,n, 883
高,gao1,,a, 308
高傲,gao1ao4,,a, 309
高潮,gao1chao2,,n, 884
高大,gao1da4,,a, 310
高等,gao1deng3,,b,  43
高度,gao1du4,,d, 162
高度,gao1du4,,n, 885
高峰,gao1feng1,,n, 886
高跟鞋,gao1gen1xie2,,n, 887
高贵,gao1gui4,,a, 311
高寒,gao1han2,,b,  44
高级,gao1ji2,,a, 312
高考,gao1kao3,,n, 888
高空,gao1kong1,,s,  19
高楼,gao1lou2,,n, 889
高明,gao1ming2,,a, 313
高能,gao1neng2,,b,  45
高频,gao1pin2,,b,  46
高山,gao1shan1,,n, 890
高尚,gao1shang4,,a, 314
高射,gao1she4,,b,  47
高声,gao1sheng1,,d, 163
高手,gao1shou3,,n, 891
高速,gao1su4,,d, 164
高抬贵手,gao1tai2gui4shou3,,i, 113
高效,gao1xiao4,,b,  48
高校,gao1xiao4,,n, 892
高兴,gao1xing4,,a, 315
高雅,gao1ya3,,a, 316
高原,gao1yuan2,,n, 893
高涨,gao1zhang3,,a, 317
高枕无忧,gao1zhen3wu2you1,,i, 114
糕点,gao1dian3,,n, 894
搞,gao3,,v, 674
稿费,gao3fei4,,n, 895
稿纸,gao3zhi3,,n, 896
告辞,gao4ci2,,v, 675
告发,gao4fa1,,v, 676
告诉,gao4su5,,v, 677
疙瘩,ge1da5,,n, 897
哥,ge1,,n, 898
胳膊,ge1bo5,,n, 899
鸽子,ge1zi5,,n, 900
割,ge1,,v, 678
割除,ge1chu2,,v, 679
割让,ge1rang4,,v, 680
歌,ge1,,n, 901
歌剧,ge1ju4,,n, 902
歌曲,ge1qu3,,n, 903
歌颂,ge1song4,,v, 681
歌舞,ge1wu3,,n, 904
革命,ge2ming4,,a, 318
革命,ge2ming4,,v, 682
格局,ge2ju2,,n, 905
格外,ge2wai4,,d, 165
格言,ge2yan2,,n, 906
隔,ge2,,v, 683
隔断,ge2duan4,,v, 684
隔膜,ge2mo2,,n, 908
个,ge4,,q,  53
个性,ge4xing4,,n, 909
各,ge4,,r,  21
各奔前程,ge4ben4qian2cheng2,,i, 115
各处,ge4chu4,,r,  22
各地,ge4di4,,r,  23
各个,ge4ge4,,r,  24
各国,ge4guo2,,r,  25
各界,ge4jie4,,r,  26
各人,ge4ren2,,r,  27
各位,ge4wei4,,r,  28
各样,ge4yang4,,r,  29
各有千秋,ge4you3qian1qiu1,,i, 116
各种,ge4zhong3,,r,  30
各自,ge4zi4,,r,  31
各族,ge4zu2,,r,  32
给,gei3,,p,  21
给,gei3,,v, 685
给以,gei3yi3,,v, 686
根,gen1,,n, 910
根,gen1,,q,  54
根本,gen1ben3,,d, 166
根据,gen1ju4,,n, 911
根据,gen1ju4,,p,  22
根深蒂固,gen1shen1di4gu4,,i, 117
根源,gen1yuan2,,n, 912
根治,gen1zhi4,,v, 688
跟,gen1,,c,  26
跟,gen1,,p,  23
跟,gen1,,v, 689
跟前,gen1qian2,,f,  21
跟踪,gen1zong1,,v, 690
更改,geng1gai3,,v, 691
更换,geng1huan4,,v, 692
更新,geng1xin1,,v, 693
耕牛,geng1niu2,,n, 913
耿直,geng3zhi2,,a, 319
梗概,geng3gai4,,n, 914
更,geng4,,d, 167
更加,geng4jia1,,d, 168
更为,geng4wei2,,d, 169
工厂,gong1chang3,,n, 915
工夫,gong1fu5,,n, 916
工工整整,gong1gong1zheng3zheng3,,z,  39
工具,gong1ju4,,n, 917
工农兵,gong1nong2bing1,,j,   8
工农联盟,gong1nong2lian2meng2,,l,  23
工人,gong1ren2,,n, 918
工业,gong1ye4,,n, 919
工艺,gong1yi4,,n, 920
工整,gong1zheng3,,a, 320
工种,gong1zhong3,,n, 921
工资,gong1zi1,,n, 922
工作,gong1zuo4,,n, 923
工作,gong1zuo4,,v, 694
弓箭,gong1jian4,,n, 924
公安局,gong1an1ju2,,n, 925
公报私仇,gong1bao4si1chou2,,i, 118
公布,gong1bu4,,v, 695
公尺,gong1chi3,,q,  55
公道,gong1dao5,,a, 321
公德,gong1de2,,n, 926
公分,gong1fen1,,q,  56
公共,gong1gong4,,b,  49
公海,gong1hai3,,n, 927
公斤,gong1jin1,,q,  57
公开信,gong1kai1xin4,,n, 928
公里,gong1li3,,q,  58
公理,gong1li3,,n, 929
公路,gong1lu4,,n, 930
公民,gong1min2,,n, 931
公平,gong1ping2,,a, 322
公顷,gong1qing3,,q,  59
公然,gong1ran2,,d, 170
公审,gong1shen3,,v, 696
公升,gong1sheng1,,q,  60
公式,gong1shi4,,n, 932
公司,gong1si1,,n, 933
公有,gong1you3,,b,  50
公寓,gong1yu4,,n, 934
公园,gong1yuan2,,n, 935
公章,gong1zhang1,,n, 936
公正,gong1zheng4,,a, 323
功夫,gong1fu5,,n, 937
功课,gong1ke4,,n, 938
功劳,gong1lao2,,n, 939
功率,gong1lv4,,n, 940
功能,gong1neng2,,n, 941
攻击,gong1ji1,,v, 697
攻势,gong1shi4,,n, 942
供,gong1,A1,v, 698
供,gong1,A2,v, 699
供应,gong1ying4,,v, 703
宫殿,gong1dian4,,n, 943
恭恭敬敬,gong1gong1jing4jing4,,z,  40
恭敬,gong1jing4,,a, 324
巩固,gong3gu4,,a, 325
巩固,gong3gu4,,v, 704
汞,gong3,,n, 944
供,gong4,B,v, 700
供,gong4,C,v, 701
供认,gong4ren4,,v, 702
共,gong4,,d, 171
共鸣,gong4ming2,,v, 705
共同,gong4tong2,,d, 172
共性,gong4xing4,,n, 945
共总,gong4zong3,,d, 173
贡献,gong4xian4,,n, 946
贡献,gong4xian4,,v, 706
勾搭,gou1da5,,v, 707
勾引,gou1yin3,,v, 708
沟,gou1,,n, 947
篝火,gou1huo3,,n, 948
狗,gou3,,n, 949
狗屁不通,gou3pi4bu4tong1,,l,  24
狗熊,gou3xiong2,,n, 950
狗血喷头,gou3xue4pen1tou2,,i, 119
构成,gou4cheng2,,v, 709
购买,gou4mai3,,v, 710
购置,gou4zhi4,,v, 711
够,gou4,,v, 712
估计,gu1ji4,,v, 713
估算,gu1suan4,,v, 714
姑娘,gu1niang5,,n, 951
姑且,gu1qie3,,d, 174
孤单,gu1dan1,,a, 326
孤单单,gu1dan1dan1,,z,  41
孤岛,gu1dao3,,n, 952
孤独,gu1du2,,a, 327
孤军奋战,gu1jun1fen4zhan4,,i, 120
孤立,gu1li4,,a, 328
孤僻,gu1pi4,,a, 329
轱辘,gu1lu5,,n, 953
辜负,gu1fu4,,v, 715
古,gu3,,a, 330
古板,gu3ban3,,a, 331
古代,gu3dai4,,t,  48
古典,gu3dian3,,b,  51
古董,gu3dong3,,n, 954
古怪,gu3guai4,,a, 332
古籍,gu3ji2,,n, 955
古老,gu3lao3,,a, 333
古里古怪,gu3li5gu3guai4,,z,  42
古朴,gu3pu3,,a, 334
古人,gu3ren2,,n, 956
古时,gu3shi2,,t,  49
古往今来,gu3wang3jin1lai2,,i, 121
古文,gu3wen2,,n, 957
谷,gu3,,g,   6
谷物,gu3wu4,,n, 958
谷雨,gu3yu3,,t,  50
股,gu3,1,q,  61
股,gu3,2,q,  62
股票,gu3piao4,,n, 959
骨气,gu3qi4,,n, 960
骨肉,gu3rou4,,n, 961
骨头,gu3tou5,,n, 962
蛊惑人心,gu3huo4ren2xin1,,i, 122
鼓,gu3,,a, 335
鼓吹,gu3chui1,,v, 716
鼓鼓囊囊,gu3gu5nang1nang1,,z,  43
鼓励,gu3li4,,v, 717
鼓手,gu3shou3,,n, 963
固步自封,gu4bu4zi4feng1,,i, 123
固定,gu4ding4,,a, 336
固然,gu4ran2,,d, 175
固体,gu4ti3,,n, 964
固有,gu4you3,,b,  52
固执,gu4zhi2,,a, 337
故步自封,gu4bu4zi4feng1,,i, 124
故地重游,gu4di4chong2you2,,l,  25
故弄玄虚,gu4nong4xuan2xu1,,i, 125
故事,gu4shi5,,n, 965
故乡,gu4xiang1,,n, 966
故意,gu4yi4,,d, 176
故障,gu4zhang4,,n, 967
顾忌,gu4ji4,,v, 718
顾客,gu4ke4,,n, 968
顾问,gu4wen4,,n, 969
瓜,gua1,1,n, 970
瓜,gua1,2,n, 971
瓜分,gua1fen1,,v, 719
挂,gua4,,v, 720
挂,gua4,1,q,  63
挂,gua4,2,q,  64
挂钩,gua4gou1,,n, 972
挂零,gua4ling2,,m,  33
挂面,gua4mian4,,n, 973
挂念,gua4nian4,,v, 721
乖乖,guai1guai1,,d, 177
乖僻,guai1pi4,,a, 338
乖巧,guai1qiao3,,a, 339
拐,guai3,A,v, 722
拐,guai3,B,v, 723
拐骗,guai3pian4,,v, 724
拐弯抹角,guai3wan1mo4jiao3,,i, 126
拐杖,guai3zhang4,,n, 974
怪,guai4,,a, 340
怪,guai4,,d, 178
怪,guai4,,v, 725
怪不得,guai4bu5de5,,d, 179
怪癖,guai4pi3,,n, 975
怪僻,guai4pi4,,a, 341
怪物,guai4wu4,,n, 976
关,guan1,,v, 726
关键,guan1jian4,,n, 977
关节,guan1jie2,,n, 978
关切,guan1qie4,,a, 342
关系,guan1xi4,,n, 979
关心,guan1xin1,,v, 727
关于,guan1yu2,,p,  24
观察,guan1cha2,,v, 728
观点,guan1dian3,,n, 980
观看,guan1kan4,,v, 729
观念,guan1nian4,,n, 981
观赏,guan1shang3,,v, 730
观望,guan1wang4,,v, 731
观众,guan1zhong4,,n, 982
官方,guan1fang1,,n, 983
官腔,guan1qiang1,,n, 984
官司,guan1si5,,n, 985
官员,guan1yuan2,,n, 986
管,guan3,,p,  25
管,guan3,1,v, 732
管,guan3,2,v, 733
管教,guan3jiao4,B,v, 735
管教,guan3jiao5,A,v, 734
管理,guan3li3,,v, 736
管用,guan3yong4,,a, 343
管子,guan3zi5,,n, 988
冠军,guan4jun1,,n, 987
贯彻,guan4che4,,v, 737
惯,guan4,,v, 738
惯例,guan4li4,,n, 989
盥洗,guan4xi3,,b,  53
灌溉,guan4gai4,,v, 739
罐头,guan4tou5,,n, 990
光,guang1,,a, 344
光,guang1,,d, 180
光,guang1,,n, 991
光波,guang1bo1,,n, 992
光彩,guang1cai3,,a, 345
光彩夺目,guang1cai3duo2mu4,,i, 127
光灿灿,guang1can4can4,,z,  44
光电,guang1dian4,,b,  54
光杆司令,guang1gan1si1ling4,,l,  26
光滑,guang1hua2,,a, 346
光辉,guang1hui1,,n, 993
光景,guang1jing3,,n, 994
光溜溜,guang1liu1liu1,,z,  45
光溜,guang1liu5,,a, 347
光芒,guang1mang2,,n, 995
光荣,guang1rong2,,a, 348
光秃秃,guang1tu1tu1,,z,  46
光线,guang1xian4,,n, 996
光阴,guang1yin1,,n, 997
光泽,guang1ze2,,n, 998
广,guang3,,a, 349
广播,guang3bo1,,v, 740
广博,guang3bo2,,a, 350
广场,guang3chang3,,n, 999
广泛,guang3fan4,,a, 351
广告,guang3gao4,,n,1000
广交会,guang3jiao1hui4,,j,   9
广阔,guang3kuo4,,a, 352
逛,guang4,,v, 741
归根结底,gui1gen1jie1di3,,i, 128
归还,gui1huan2,,v, 742
归属,gui1shu3,,v, 743
归宿,gui1su4,,n,1001
规定,gui1ding4,,v, 744
规范,gui1fan4,,n,1002
规律,gui1lv4,,n,1003
规模,gui1mo2,,n,1004
规则,gui1ze2,,n,1005
轨道,gui3dao4,,n,1006
诡怪,gui3guai4,,a, 353
诡计,gui3ji4,,n,1007
鬼魂,gui3hun2,,n,1008
鬼迷心窍,gui3mi2xin1qiao4,,i, 129
鬼头鬼脑,gui3tou2gui3nao3,,i, 130
柜子,gui4zi5,,n,1009
贵宾,gui4bin1,,n,1010
贵贱,gui4jian4,,n,1011
贵重,gui4zhong4,,a, 354
滚,gun3,1,v, 745
滚,gun3,2,v, 746
滚瓜烂熟,gun3gua1lan4shu2,,i, 131
滚圆,gun3yuan2,,z,  47
滚珠轴承,gun3zhu1zhou2cheng2,,l,  27
棍子,gun4zi5,,n,1012
锅盖,guo1gai4,,n,1013
锅炉,guo1lu2,,n,1014
国策,guo2ce4,,n,1015
国产,guo2chan3,,b,  55
国歌,guo2ge1,,n,1016
国格,guo2ge2,,n,1017
国徽,guo2hui1,,n,1018
国籍,guo2ji2,,n,1019
国家,guo2jia1,,n,1020
国境,guo2jing4,,n,1021
国内,guo2nei4,,s,  20
国内外,guo2nei4wai4,,s,  21
国旗,guo2qi2,,n,1022
国庆节,guo2qing4jie2,,t,  51
国外,guo2wai4,,s,  22
国王,guo2wang2,,n,1023
国宴,guo2yan4,,n,1024
国营,guo2ying2,,b,  56
国债,guo2zhai4,,n,1025
果冻,guo3dong4,,n,1026
果断,guo3duan4,,a, 355
果脯,guo3fu3,,n,1027
果然,guo3ran2,,d, 181
果实,guo3shi2,,n,1028
果园,guo3yuan2,,n,1029
果真,guo3zhen1,,d, 182
果汁,guo3zhi1,,n,1030
过,guo4,,d, 183
过,guo4,,h,   4
过,guo4,,v, 747
过程,guo4cheng2,,n,1031
过错,guo4cuo4,,n,1032
过冬作物,guo4dong1zuo4wu4,,l,  28
过多,guo4duo1,,d, 184
过分,guo4fen4,,a, 356
过火,guo4huo3,,a, 357
过来,guo4lai2,,v, 748
过滤,guo4lv4,,v, 749
过去,guo4qu4,,t,  52
过去,guo4qu4,,v, 750
过失,guo4shi1,,n,1033
过问,guo4wen4,,v, 751
过眼烟云,guo4yan3yan1yun2,,i, 132
过硬,guo4ying4,,a, 358
过于,guo4yu2,,d, 185
过,guo5,,u,   8
哈哈,ha1ha1,,o,   5
蛤蟆,ha2ma2,,n, 907
孩子,hai2zi5,,n,1034
还,hai2,,d, 211
还是,hai2shi5,,c,  29
还是,hai2shi5,,d, 212
海,hai3,,n,1035
海报,hai3bao4,,n,1036
海带,hai3dai4,,n,1037
海港,hai3gang3,,n,1038
海军,hai3jun1,,n,1039
海浪,hai3lang4,,n,1040
海里,hai3li3,,q,  65
海里,hai3li5,,s,  23
海米,hai3mi3,,n,1041
海绵,hai3mian2,,n,1042
海面,hai3mian4,,n,1043
海上,hai3shang5,,s,  24
海水,hai3shui3,,n,1044
海滩,hai3tan1,,n,1045
海棠,hai3tang2,1,n,1046
海棠,hai3tang2,2,n,1047
海外,hai3wai4,,s,  25
海鲜,hai3xian1,,n,1048
海洋,hai3yang2,,n,1049
海藻,hai3zao3,,n,1050
海蜇,hai3zhe2,,n,1051
害,hai4,,v, 752
害怕,hai4pa4,,v, 753
害群之马,hai4qun2zhi1ma3,,i, 133
害臊,hai4sao4,,a, 359
害羞,hai4xiu1,,a, 360
憨厚,han1hou4,,a, 361
含,han2,,v, 754
含含糊糊,han2han5hu1hu1,,z,  48
含糊,han2hu5,,a, 362
含混,han2hun4,,a, 363
含量,han2liang4,,n,1052
含蓄,han2xu4,,a, 364
含义,han2yi4,,n,1053
函大,han2da4,,j,  10
涵养,han2yang3,,n,1054
寒潮,han2chao2,,n,1055
寒碜,han2chen5,,a, 365
寒风,han2feng1,,n,1056
寒露,han2lu4,,t,  53
寒酸,han2suan1,,a, 366
喊,han3,,v, 755
喊声,han3sheng1,,n,1057
汉语,han4yu3,,n,1058
汉字,han4zi4,,n,1059
汗,han4,,n,1060
汗津津,han4jin1jin1,,z,  49
汗流浃背,han4liu2jia1bei4,,i, 134
汗水,han4shui3,,n,1061
汗渍,han4zi4,,n,1062
旱冰,han4bing1,,n,1063
旱地,han4di4,,n,1064
旱情,han4qing2,,n,1065
旱灾,han4zai1,,n,1066
悍然,han4ran2,,d, 186
捍卫,han4wei4,,v, 756
航程,hang2cheng2,,n,1067
航道,hang2dao4,,n,1068
航线,hang2xian4,,n,1069
行,hang2,,q, 193
行家,hang2jia5,,n,2936
行情,hang2qing2,,n,2938
行业,hang2ye4,,n,2940
毫不犹豫,hao2bu4you2yu4,,l,  29
毫克,hao2ke4,,q,  66
毫米,hao2mi3,,q,  67
毫升,hao2sheng1,,q,  68
豪放,hao2fang4,,a, 367
豪华,hao2hua2,,a, 368
豪气,hao2qi4,,n,1070
豪情,hao2qing2,,n,1071
豪爽,hao2shuang3,,a, 369
豪言壮语,hao2yan2zhuang4yu3,,i, 135
好,hao3,,a, 370
好,hao3,,d, 187
好处,hao3chu5,,n,1072
好歹,hao3dai3,,d, 188
好端端,hao3duan1duan1,,z,  50
好多,hao3duo1,,m,  34
好汉,hao3han4,,n,1073
好好,hao3hao1,,d, 189
好坏,hao3huai4,,n,1074
好几,hao3ji3,,m,  35
好久,hao3jiu3,,m,  36
好看,hao3kan4,,a, 371
好容易,hao3rong2yi4,,d, 190
好生,hao3sheng1,,d, 191
好生生,hao3sheng1sheng1,,z,  51
好事多磨,hao3shi4duo1mo2,,i, 137
好受,hao3shou4,,a, 375
好像,hao3xiang4,,v, 757
好笑,hao3xiao4,,a, 376
好些,hao3xie1,,m,  37
好心,hao3xin1,,n,1075
好在,hao3zai4,,d, 192
好高鹜远,hao4gao1wu4yuan3,,i, 136
好客,hao4ke4,,a, 372
好奇,hao4qi2,,a, 373
好强,hao4qiang2,,a, 374
好学,hao4xue2,,a, 377
号,hao4,,q,  69
号码,hao4ma3,,n,1076
号召,hao4zhao4,,n,1077
号召,hao4zhao4,,v, 758
浩大,hao4da4,,a, 378
耗费,hao4fei4,,v, 759
耗资,hao4zi1,,v, 760
喝,he1,,v, 761
禾苗,he2miao2,,n,1078
合并,he2bing4,,v, 763
合法,he2fa3,,a, 379
合格证,he2ge2zheng4,,n,1079
合计,he2ji4,A,v, 764
合计,he2ji5,B,v, 765
合金,he2jin1,,n,1080
合理,he2li3,,a, 380
合群,he2qun2,,a, 381
合适,he2shi4,,a, 382
合算,he2suan4,,a, 383
合同,he2tong5,,n,1081
合影,he2ying3,,n,1082
合影,he2ying3,,v, 766
合作,he2zuo4,,v, 767
何,he2,,r,  33
何必,he2bi4,,d, 193
何尝,he2chang2,,d, 194
何处,he2chu4,,r,  34
何等,he2deng3,,d, 195
何妨,he2fang1,,d, 196
何苦,he2ku3,,d, 197
何况,he2kuang4,,c,  27
何时,he2shi2,,r,  35
何以,he2yi3,,d, 198
和,he2,,c,  28
和,he2,,p,  26
和蔼,he2ai3,,a, 384
和蔼可亲,he2ai3ke3qin1,,i, 138
和缓,he2huan3,,a, 385
和解,he2jie3,,v, 768
和睦,he2mu4,,a, 386
和平,he2ping2,,n,1083
和气,he2qi5,,a, 387
和谐,he2xie2,,a, 388
和煦,he2xu4,,a, 389
和约,he2yue1,,n,1084
河,he2,,n,1085
河流,he2liu2,,n,1086
河滩,he2tan1,,n,1087
核对,he2dui4,,v, 769
