词语,全拼音,同形,主前后,副名,副数量,重复,连接,重叠,兼类,备注
仍然,reng2ran2,,,,可,,连,,,"还,还是:他虽然年过半百,却~精力充沛"
日渐,ri4jian4,,,,,,,,,他的事业~兴旺
日趋,ri4qu1,,,,,,,,,城乡贸易~繁荣
日夜,ri4ye4,,,,,,,AABB,,~看守着祖国边疆
日益,ri4yi4,,,,,,,,,一天比一天:革命力量~壮大
如期,ru2qi1,,,,,,,,,按期:~交货
如实,ru2shi2,,,,,,,,,他们~反映情况
如数,ru2shu4,,,,,,,,,~交清
霎时,sha4shi2,,前,,,,,,,极短时间:~敌人的飞机成了一团火球掉下来了
擅自,shan4zi4,,,,,,,,,随便:他~动用公款
尚,shang4,,,,,,,,,"还,还算:他的表现~好;动作行为或状态继续:文章~未修改"
尚未,shang4wei4,,,,,,,,,革命~成功
稍,shao1,,,,,,,DD,,你~等我一下/他~晚了点儿
稍顷,shao1qing3,,前,,,,,,,~一辆车开了过来
稍稍,shao1shao1,,,,,,,,,"所修饰的a、v后常带""一些,一点儿,一下,一会儿""等/桌子~整理一下"
稍微,shao1wei1,,,,,,,,,"所修饰的a、v后常带""一点儿,一些,一下,一会儿""等/衣服~小了一些"
稍为,shao1wei2,,,,,,,,,被修饰语必带不定量成份/请~等一会
稍许,shao1xu3,,,,,,,,,被修饰语必带不定量成份/~放点味精
舍命,she3ming4,,,,,,,,,他~救人
深深,shen1shen1,,,,,,,,,他~地吸了一口气
甚,shen4,,,,,,,,,"很,极:不~了解/与""为"",""是""连用,有""十分,非常""的意思:老师~为满意"
甚至,shen4zhi4,,前,可,可,,连,,,"不但大人,~连小孩儿都会游泳/这块石头~四五个小伙子也搬不动"
生来,sheng1lai2,,前,,,,,,,这孩子~就爱静
时不时,shi2bu5shi2,,前,,,,,,,~我去郊外玩玩
时常,shi2chang2,,前,,可,,,,,~一个人默默地干/白天家里~一个人
时而,shi2er2,,前,,可,可,,,,"不时:~我去看看她/这里的天气变化无常,~出太阳,~大雨倾盆"
时刻,shi2ke4,,,,,,,AABB,n,"时时,时常:~提防/政府要~关心群众生活"
时时,shi2shi2,,,,,,,,,"常常,经常:老师的教导,要~记在心上"
实际上,shi2ji4shang5,,前,,可,,,,,"~你说了/你说10斤,~8斤"
始终,shi3zhong1,,,,可,,,,n,一直:他的决心~没有改变/他家~两个人
势必,shi4bi4,,,,,,,,,"干部不学法律,~要犯错误"
事先,shi4xian1,,前,,,,,,,~说/~你应该安排好
适才,shi4cai2,,前,,,,,,,刚才:~我去看了报纸
誓死,shi4si3,,,,,,,,,~保卫祖国
首次,shou3ci4,,,,,,,,,~推出自己的产品
首先,shou3xian1,,前,,,,,,,"最早,最先:~我们打扫教室"
书面,shu1mian4,,,,,,,,n,~表示/~汇报/这种用法常见于~(n)
倏地,shu1di4,,,,,,,,,极快地:石头~飞过来了
率先,shuai4xian1,,,,,,,,,他们~到达终点
顺便,shun4bian4,,前,,,,,,,今天~去看看老师/~我回一趟家
顺带,shun4dai4,,,,,,,,,请你~帮我买块橡皮
顺脚,shun4jiao3,,,,,,,,,请你~走一趟
顺势,shun4shi4,,,,,,,,,做晚饭的时候~多加了一把米
私下,si1xia4,,,,,,,,,他们两人~商议好了
私自,si1zi4,,,,,,,,,他们~拿走了
死,si3,,,,,,,DD,va,硬:~缠着她;极:大家高兴~了/管得太~(a)/~了一只鸭子(v)
死死,si3si3,,,,,,,,,猫~地咬住耗子
似乎,si4hu1,,前,,可,,,,,"好像,仿佛:~他很为难/~两点钟了/我们~该走了"
伺机,si4ji1,,,,,,,,,~反攻
肆意,si4yi4,,,,,,,,,他~攻击别人
素常,su4chang2,,,,,,,,,老人家~舍不得穿
素来,su4lai2,,,,,,,,,"从来,一向:他的人品,是我~佩服的/他~说话算数"
随处,sui2chu4,,,,,,,,,"外国人在北京很多,~可见"
随地,sui2di4,,,,,,,,,禁止~吐痰
随后,sui2hou4,,,,,,,,,"紧接着:你们先走,我~就来/单说时要带上""呢"""
随机,sui2ji1,,,,,,,,b,~校对/~数据(b)
随即,sui2ji2,,前,,,,,,,"马上,即刻:我们接到通知后,~出发"
随口,sui2kou3,,,,,,,,,他~说/~答应
随身,sui2shen1,,,,,,,,b,这些东西要~带/~行李(b)
随时,sui2shi2,,,,,,,,,时时刻刻;不管什么时候:你有事~找厂长;经常:有空请你~来信
随手,sui2shou3,,,,,,,,,顺手:请大家出门时~关灯
遂,sui4,,,,,,,,,"于是,就:吃药后疼痛~止"
索性,suo3xing4,,前,,,,,,,干脆:~我们把它干完
太,tai4,,,,,,,,,"很,极:这小孩~可爱了;过分,过于:文章~长"
特,te4,,,,,,,,,"格外,非常:今天~冷"
特别,te4bie2,,,,,,,,a,"非常,格外:这部电影~感动人;特地,着重:老师~解释;尤其:~喜欢计算机"
特此,te4ci3,,,,,,,,,~证明
特地,te4di4,,,,,,,,,老师~来看我
特意,te4yi4,,,,,,,,,小王~为我买了一本书
提早,ti2zao3,,,,可,,,,,今天我~下班/~3小时
挺,ting3,,,,,,,,vq,他~会说话
通常,tong1chang2,,前,,可,,,,,"平常,一般:~两个人/~我们一星期做一次值日"
通共,tong1gong4,,,,可,,,,,一共:~1千斤
通盘,tong1pan2,,,,,,,,,我们~考虑/~安排
通通,tong1tong1,,,,,,,,,"全,都:小鱼~死了"
同年,tong2nian2,,前,,可,,,,,我们~考取大学/~三月参军
同期,tong2qi1,,,,,,,,,我们~毕业
同时,tong2shi2,,前,,,,,,nc,"我们~参军/社会实践不仅能开阔眼界,~能增强能力(c)"
统共,tong3gong4,,,,可,,,,,一共:家里~两个人
统统,tong3tong3,,,,,,,,,"全,都:教室里的人~走了"
偷偷,tou1tou1,,,,,,,,,他~溜走了
徒步,tu2bu4,,,,可,,,,,~两千里/~旅行
徒手,tu2shou3,,,,,,,,b,~搏斗
团团,tuan2tuan2,,,,,,,,,~围住他们
婉言,wan3yan2,,,,,,,,,他~拒绝这件事
万分,wan4fen1,,,,,,,,,"极其,非常:他~痛苦"
万万,wan4wan4,,,,,,,,,"绝对,无论如何:这件事大家~没想到"
往往,wang3wang3,,,,,,,,,"常常,每每:为了一个词~要查很多资料"
微微,wei1wei1,,,,,,,,,"稍微,略微:你~加点料酒,鱼就好吃了"
巍然,wei1ran2,,,,,,,,,"百年一遇的洪水来了,大坝~不动"
唯,wei2,,,可,,,,,,"只,仅仅:他~身体稍差"
惟,wei2,,,可,,,,,,"只,仅仅"
惟独,wei2du2,,前,可,,,,,,"只,仅仅:~班长一人缺席"
委实,wei3shi2,,,,,,,,,"实在,确实:这种花~好看"
未,wei4,,,,,,,,,"不:老张负责这事,我~便决定;没有,不曾:这事~最后决定"
未必,wei4bi4,,,,可,,,,,~一个人/这个问题小李也~清楚
未尝,wei4chang2,,,,,,,,,"不是,没有:文章不太通顺,改一下~不可;未曾:工作虽忙,学习~中断过"
未免,wei4mian3,,,,,,,,,"实在不能不说是:当面训斥,~使他难堪/你们~想得太简单了"
未曾,wei4ceng2,,,,,,,,,没有:历史上~有过的奇迹
稳步,wen3bu4,,,,,,,,,我国工业~发展/~上升
无不,wu2bu4,,,,,,,,,"这孩子很聪明,老师~夸奖他"
无偿,wu2chang2,,,,,,,,b,~贷款/~援助
无处,wu2chu4,,,,,,,,,~藏身
无非,wu2fei1,,前,,,,,,,~你把他调走
无故,wu2gu4,,,,,,,,,我们不能~缺席
无怪,wu2guai4,,前,,,,,,,"已经入冬了,~天气这么冷"
无奈,wu2nai4,,前,,,,,,,"无可奈何:同学聚会,~他发病了,不能来"
无私,wu2si1,,,,,,,,b,~援助/~的奉献
无暇,wu2xia2,,,,,,,,,我~过问这件事
无须,wu2xu1,,前,,,,,,,"不用,不必:我的事,~你操心"
无疑,wu2yi2,,前,,,,,,,"~,这是老王的主张"
毋庸,wu2yong1,,前,,,,,,,无须:~你来反对
勿,wu4,,,,,,,,,不要:请~抽烟
务必,wu4bi4,,前,,,,,,,"一定,必须:保持公共卫生,~人人动手"
务期,wu4qi1,,,,,,,,,一定要:学习~有成
务须,wu4xu1,,,,,,,,,"必须,一定:制度~严格执行"
悉心,xi1xin1,,,,,,,,,用尽心思:~指导
瞎,xia1,,,,,,,,v,~忙/~操心/~说一气
先,xian1,,,可,可,,,,,"~老人,后自己/你~别急,慢慢来"
先后,xian1hou4,,,,可,,,,,老师~发表了很多文章/老师~5次去非洲
先期,xian1qi1,,,,,,,,,他们已~到达
先是,xian1shi4,,前,可,可,,,,,"我对南瓜~不喜欢吃,后来特想吃/这个厂~5个人,现在几百人了"
险些,xian3xie1,,前,,,,,,,差一点:今天~他被车子压了
现,xian4,,,,,,,,,他~拿出两千元
相当,xiang1dang1,,,,,,,,v,~的漂亮/演出~成功
相对,xiang1dui4,,,,,,,,vb,~稳定/~优势(b)
相互,xiang1hu4,,,,,,,,b,大家~促进/各门学科~渗透
相继,xiang1ji4,,,,,,,,,同学们~发言/学生~离校
向来,xiang4lai2,,前,,,,,,,一向:~我说话算数
协力,xie2li4,,,,,,,,,咱们~完成这件事
欣然,xin1ran2,,,,,,,,,~同意
新近,xin1jin4,,前,,,,,,b,不久前:~他出远门去了/他~调走了
信手,xin4shou3,,,,,,,,,随手:有人~挥霍国家钱财
兴许,xing1xu3,,前,,可,,,,,"或许,也许:这次会议人不多,~10个人左右/~我也去"
行将,xing2jiang1,,,,,,,,,"将要,即将:帝国主义分子~灭亡"
幸而,xing4er2,,前,,,,连,,,"幸亏:~隐患及时消除,否则后果不堪设想"
幸好,xing4hao3,,前,,,,连,,,"我没带钱,~碰到熟人/~没下雨,否则就要淋雨了"
幸亏,xing4kui1,,前,,,,连,,,"~你提醒了我,不然我就忘了"
休,xiu1,,,,,,,,,"表示禁止,劝阻:~要胡言乱语"
须,xu1,,,,,,,,,"你的功课不好,~努力"
徐徐,xu2xu2,,,,,,,,,慢慢地:火车~开动
蓄意,xu4yi4,,,,,,,,,存心:他~捣乱
旋即,xuan2ji2,,,,,,,,,很快地:电影票~卖完
压根儿,ya4genr1,,前,,,,,,,根本:~他忘了这件事
眼看,yan3kan4,,前,,可,,,,,马上:~小麦就要成熟了/~四月份了
也,ye3,,,可,可,可,连,,,"你去我~去/你~30几岁人了/我虽然没见过,~听人说过"
也许,ye3xu3,,前,,可,可,,,,"或者,可能:他~30岁了/~,他走了/~他来,~我去"
业已,ye4yi3,,,,,,,,,已经:~调查属实
一,yi1,,,,,,连,,m,门~推就开了/老师~说他就听明白了
一边,yi1bian1,,,,,可,,,f,"早晨,小李~散步~唱着小曲"
一并,yi1bing4,,,,,,,,,"一起:供水,供电等问题~考虑"
一旦,yi1dan4,,前,,,,,,,"有一天:~电站建成,能源问题就解决了"
一道,yi1dao4,,,,,,,,,我们~走
一定,yi1ding4,,,,,,,,vb,"必定,确定:我~努力工作"
一度,yi1du4,,,,,,,,,他~生病在家
一概,yi1gai4,,,,,,,,,"全,都:过期食品~扔掉"
一共,yi1gong4,,,,可,,,,,合计:这几笔钱加起来~3万多元/全校师生员工~是2万人
一骨碌,yi1gu1lu5,,,,,,,,,他~爬起来了
一贯,yi1guan4,,,,,,,,b,他~锻炼身体
一举,yi1ju3,,,,,,,,,我军~捣毁了敌人的巢穴
一块儿,yi1kuair4,,,,,,,,s,我们~走吧/这两个人说不到~(s)
一连,yi1lian2,,,,可,,,,,"新年值班,~三天/~下了三天大雪"
一律,yi1lv4,,,,,,,,,无一例外:各民族~平等
一面,yi1mian4,,,,,可,,,f,"李先生~哼着歌,~往外跑"
一齐,yi1qi2,,,,,,,,,大家~动手
一起,yi1qi3,,,,,,,,s,我们~参军/我们和群众在~(s)
一气,yi1qi4,,,,,,,,,我们~走了50里路
一时,yi1shi2,,,,,可,,,b,"暂时:我~想不起来了;顿时:他~高兴得说不出话来;时而,忽而:~下雨,~出太阳"
一同,yi1tong2,,,,,,,,,我们~看电影去
一味,yi1wei4,,,,,,,,,他~推托
一向,yi1xiang4,,,,,,,,,小李~好客
一心,yi1xin1,,,,,,,,,他~务农
一再,yi1zai4,,,,,,,,,一次又一次:他~声明……/我~表示……
一直,yi1zhi2,,,,,,,,,方向不变:~朝前走;情况不变:这两天~下雨;始终:他功课~很好
依次,yi1ci4,,,,,,,,,客人~入座
依法,yi1fa3,,,,,,,,,这件事~办理
已,yi3,,,可,可,,,,,他~大学生了/~3岁了
已经,yi3jing1,,,可,可,,,,,他~团长了/~80岁了
义务,yi4wu4,,,,,,,,n,我们是在~劳动
亦,yi4,,,,,,,,,"也:""和""是连词,~是介词"
益发,yi4fa1,,,,,,,,,"领导越信任他,他~努力工作"
毅然,yi4ran2,,,,,,,,,"坚决,毫不犹疑地:他~留在边疆工作"
因故,yin1gu4,,,,,,,,,他~缺席
迎面,ying2mian4,,,,,,,,,"北风~吹,走路真吃力"
迎头,ying2tou2,,,,,,,,,功课太差要~赶上才好
硬,ying4,,,,,,,,a,勉强:他~撑着工作;态度坚决、固执:他~要去/~把小孩拖回家
硬是,ying4shi4,,,,,,,,,就是:他~不肯/他~不听
永,yong3,,,,,,,,,我们~不做亡国奴/做一颗~不生锈的螺丝钉
永不,yong3bu4,,,,,,,,,"这种料子颜色鲜艳,~褪色"
永世,yong3shi4,,,,,,,,,党的恩情~不忘
永远,yong3yuan3,,,,,,,,b,社会~向前发展
尤,you2,,,,,,,,,他的英语成绩~为突出
尤其,you2qi2,,,可,,,,,,"特别:我~喜欢看武打小说/我爱看小说,~短篇的"
尤为,you2wei2,,,,,,,,,特别:中小学生打好语文基础~重要
由此,you2ci3,,,,,,,,,~得出结论
由衷,you2zhong1,,,,,,,,,"学生成长起来,老师~高兴"
犹,you2,,,,,,,,,雷锋~活在人们心中
有点,you3dian3,,,,,,,,,"略微,稍微:他~不大高兴"
有时,you3shi2,,前,,可,可,,,,"春天天气~热,~很冷/~我们也出去活动活动"
有意,you3yi4,,,,,,,,v,故意:我不是~伤你的感情;有心:小张对小胡~(v)
又,you4,,,可,可,可,连,,,"再,还:这篇文章我~仔细看了一遍/~会写~会算/~新年了/~五月了"
预,yu4,,,,,,,,,~处理/~祝大会成功
预先,yu4xian1,,,,,,,,,你~通知他们/你~布置一下
愈,yu4,,,,,可,,,,~病身体~不好
愈发,yu4fa1,,,,,,,,,"你坚持锻炼,体质~好了"
愈加,yu4jia1,,,,,,,,,"工作忙,我们~要细心"
愈益,yu4yi4,,,,,,,,,愈加:人们改变落后面貌的决心~增强
原,yuan2,,,,,,,,b,~有500人/~作者(b)
原来,yuan2lai2,,前,,,,,,b,~是他!/~的教材(b)
原先,yuan2xian1,,前,,,,,,b,"照~的计划办/~他是个文盲,现在自学成材了"
远远,yuan3yuan3,,,,,,,,,~地看见一个人走来
怨不得,yuan4bu5de5,,前,,,,,,,~大家有意见
约,yue1,,,,可,,,,v,"大概,大约:全市人口~有1千万/会议~七八十人"
约略,yue1lve4,,,,可,,,,,"稍微,大概:我~知道一些/我~听到过一些"
约莫,yue1mo5,,,,可,,,,,大约:~有70人来参加会议/~5点钟他就走了
越,yue4,,,,,可,,,,改正错误~彻底~好
越发,yue4fa1,,,,,,,,,更加:功课不好~要抓紧时间
越加,yue4jia1,,,,,,,,,"越发,更加:他的心~乱了"
越来越,yue4lai2yue4,,,,,,,,,"现在三月了,天气~缓和了"
越是,yue4shi5,,,,,可,,,,"~困难的地方,~要去锻炼,这才是好党员"
匀速,yun2su4,,,,,,,,b,小船~前进
再,zai4,,,,可,,,,,我打算~看一遍课文/你~劝也没用/~一次评为优秀教师
再次,zai4ci4,,,,,,,,,我决定~回老家看看/~获奖
再度,zai4du4,,,,,,,,,又一次:机构~调整
再三,zai4san1,,,,,,,,,一次又一次:客人~道谢/我们~挽留他/他母亲叮嘱~
再行,zai4xing2,,,,,,,,,~考虑
在,zai4,,,,,,,,vp,正在:~睡觉
暂,zan4,,,,,,,,,这本书~借两天
暂且,zan4qie3,,,,,,,,,"暂时,姑且:这件事~搁一搁"
暂时,zan4shi2,,,,,,,,b,图书馆~停止开放
早日,zao3ri4,,,,,,,,,大家盼望这条铁路~通车
早已,zao3yi3,,,,,,,,,这件事~办好了
早早,zao3zao3,,,,,,,,,"尽早,及早:这件事该~办完它,不能再拖了/你~回去吧"
择优,ze2you1,,,,,,,,,从考生中~录取
曾,ceng2,,,,,,,,,曾经:我~找过他一回
曾经,ceng2jing1,,,,,,,,,他~两次立过战功
照例,zhao4li4,,前,,,,,,,依照惯例:春节~放假3天/~今年春节放假3天
照样,zhao4yang4,,,,,,,,,和原来一样:他每天~骑自行车上下班
照直,zhao4zhi2,,,,,,,,,有话你就~说
真,zhen1,,,,,,,,a,"实在,的确:你~考上了?/你~美/看得很~(a)"
真正,zhen1zheng4,,,,,,,,b,"的确,确实:我的老师~好"
整天,zheng3tian1,,前,,可,,,,,他~呆在家里/他~一个人
整整,zheng3zheng3,,,,可,,,,,工作~3年了/他~工作了30年
正,zheng4,,,,可,,,,abv,我~看书呢/现在~12点钟/~了~帽子(v)
正要,zheng4yao4,,,,,,,,,商店~关门
正在,zheng4zai4,,,,,,,,,他~发言/女排~进行冬季训练
执意,zhi2yi4,,,,,,,,,小孩~要去玩
直,zhi2,,,,,,,,av,她冷得~打哆嗦/列车从杭州~达北京
直截,zhi2jie2,,,,,,,,,书记~批评了小李/你~说更好
只,zhi3,,,可,可,,,,,"光,仅:他~爱好音乐;只有,仅有:会议~10天"
只不过,zhi3bu4guo4,,前,,可,,,,,~两个人/~我不愿一个人去
只顾,zhi3gu4,,,,,,,,v,~低着头干他的活儿
只管,zhi3guan3,,,,,,,,,"尽管,只顾:你有什么话~说/他~往前走"
只好,zhi3hao3,,前,可,可,,,,,"~一个人去/大家都有事,~让小李跑一趟了"
只身,zhi1shen1,,,,,,,,,你~出门要特别小心
只是,zhi3shi4,,,,,,,,c,"不过是,仅仅是:他~点点头,表示同意/他~说说罢了"
指不定,zhi3bu5ding4,,前,,,,,,,"单说必带""呢""/说不定:~他走了"
至,zhi4,,,,,,,,pv,"最,极:~迟下个星期三一定赶到/这条路北~北京,南~武汉(v)/~本月5号结束(p)"
至此,zhi4ci3,,前,,,,,,,"~,我才了解问题所在"
至多,zhi4duo1,,前,,可,,,,,"单说时要带上""呢""/看上去~30岁/~他比我大一两岁/~是局长"
至今,zhi4jin1,,前,,,,,,,~我们还未定合同
至少,zhi4shao3,,前,,可,,,,,"单说时要带上""呢""/事先,~你应该和我商量一下/这笔费用~3万元"
终,zhong1,,,,,,,,,"学习持之以恒,~必有所成就/事情~会水落石出"
终归,zhong1gui1,,前,,,,,,,"你也不必强留,~他是要走的"
终究,zhong1jiu1,,前,,,,,,,一个人的能力~有限/~我还是要回来的
终年,zhong1nian2,,,,,,,,,"在那个时候,我们~挨饿"
终于,zhong1yu2,,前,,,,连,,,"到底:问题~解决了/~,我们自己的人造卫星上天了"
衷心,zhong1xin1,,,,,,,,b,我们~拥护共产党/~的祝福
重,chong2,,,,,,,,q,~上井冈山/一~山(q)
重点,zhong4dian3,,,,,,,,n,我们要~发展工业
重新,chong2xin1,,,,,,,,,他愿~做人/~安排他的工作
骤,zhou4,,,,,,,,,天气~变/狂风~起
骤然,zhou4ran2,,,,,,,,,会场内~响起了一阵热烈的掌声
逐步,zhu2bu4,,,,,,,,,我国~发展海洋事业/对问题的认识~深入
逐个,zhu2ge4,,,,,,,,,出厂产品要~检查/~清点
逐级,zhu2ji2,,,,,,,,,腐败现象要~清理
逐渐,zhu2jian4,,,,,,,,,他的身体~好起来/河床~淤积
逐日,zhu2ri4,,,,,,,,,产品质量~上升/废品率~下降
逐一,zhu2yi1,,,,,,,,,这几个问题要求~举例说明
主要,zhu3yao4,,,,,,,,b,"解决能源问题,目前~开采石油、利用水利资源、……。"
专,zhuan1,,,,,,,,a,这家商店~买皮货/他在业务上很~(a)
专程,zhuan1cheng2,,,,,,,,,~去看望
专门,zhuan1men2,,,,,,,,b,他是~研究土壤学的
转瞬,zhuan3shun4,,,,,,,,,国庆节~就要到了
转眼,zhuan3yan3,,前,,,,,,,~他已经大学毕业了
谆谆,zhun1zhun1,,,,,,,,b,"老一辈无产阶级革命家,~告诫中国人民……"
准,zhun3,,,,,,,,ahv,他~没来/~宾语(h)
准保,zhun3bao3,,前,,,,,,,~他走了
酌情,zhuo2qing2,,,,,,,,,你~处理吧
着实,zhuo2shi2,,,,,,,,a,"实在,确实:这几个字~写得不错/话语很~(a)"
着意,zhuo2yi4,,,,,,,,,用心:他~经营小百货
自,zi4,,,,,,,,pr,当然:将来~有好处
自动,zi4dong4,,,,,,,,b,同学们~来帮忙
自发,zi4fa1,,,,,,,,b,同学们~参加绿化劳动
自古,zi4gu3,,,,,,,,,~无人问津
自然,zi4ran2,,,,,,,,n,"当然,一定:学校~关心教学改革"
自行,zi4xing2,,,,,,,,b,自己的事~处理
总,zong3,,,,,,,,b,一定:~有一天;一直:他~按时起床;毕竟:集体的力量~比个人的力量大
总共,zong3gong4,,,,可,,,,,合计:我校学生~有一万多人/春节休假~21天
总归,zong3gui1,,前,,,,,,,"不管技术多复杂,~我们是能掌握的/事实~是事实,你不能不承认"
总是,zong3shi4,,前,,可,,,,,家里~两个人/~我一个人去
总算,zong3suan4,,,,,,,,,今天~晴了/我~赶上这班车了
纵情,zong4qing2,,,,,,,,,大家~歌唱社会主义好
足,zu2,,,,,,,DD,a,这棵菜~有10几斤
足以,zu2yi3,,,,,,,,,"充分,完全:以上事实,~说明他是一位好青年"
足足,zu2zu2,,,,可,,,,,这件行李~有20公斤/我在这里等了~一小时
最,zui4,,,,,,,DD,,这个算法~简便/每个班~少去5个人
最终,zui4zhong1,,前,,,,,,b,~他一无所有/~目的(b)
